input_size,comparisons,swaps_or_shifts,presortedness_score,duplicate_ratio,value_range,probes,collision_count,domain,algorithm,input_condition
10,45.0,8.0,0.3333,0.0,88143.0,0.0,0.0,sorting,selection_sort,random
10,36.0,30.0,0.3333,0.0,88143.0,0.0,0.0,sorting,insertion_sort,random
10,22.0,34.0,0.3333,0.0,88143.0,0.0,0.0,sorting,merge_sort,random
10,29.0,24.0,0.3333,0.0,88143.0,0.0,0.0,sorting,quick_sort,random
10,37.0,24.0,0.3333,0.0,88143.0,0.0,0.0,sorting,heap_sort,random
10,0.0,50.0,0.3333,0.0,88143.0,0.0,0.0,sorting,radix_sort,random
10,45.0,8.0,0.3333,0.0,79723.0,0.0,0.0,sorting,selection_sort,random
10,37.0,30.0,0.3333,0.0,79723.0,0.0,0.0,sorting,insertion_sort,random
10,23.0,34.0,0.3333,0.0,79723.0,0.0,0.0,sorting,merge_sort,random
10,21.0,18.0,0.3333,0.0,79723.0,0.0,0.0,sorting,quick_sort,random
10,39.0,24.0,0.3333,0.0,79723.0,0.0,0.0,sorting,heap_sort,random
10,0.0,50.0,0.3333,0.0,79723.0,0.0,0.0,sorting,radix_sort,random
10,45.0,8.0,0.4667,0.0,93621.0,0.0,0.0,sorting,selection_sort,random
10,33.0,24.0,0.4667,0.0,93621.0,0.0,0.0,sorting,insertion_sort,random
10,23.0,34.0,0.4667,0.0,93621.0,0.0,0.0,sorting,merge_sort,random
10,28.0,22.0,0.4667,0.0,93621.0,0.0,0.0,sorting,quick_sort,random
10,39.0,26.0,0.4667,0.0,93621.0,0.0,0.0,sorting,heap_sort,random
10,0.0,50.0,0.4667,0.0,93621.0,0.0,0.0,sorting,radix_sort,random
10,45.0,5.0,0.4,0.0,88516.0,0.0,0.0,sorting,selection_sort,random
10,34.0,27.0,0.4,0.0,88516.0,0.0,0.0,sorting,insertion_sort,random
10,20.0,34.0,0.4,0.0,88516.0,0.0,0.0,sorting,merge_sort,random
10,27.0,23.0,0.4,0.0,88516.0,0.0,0.0,sorting,quick_sort,random
10,39.0,27.0,0.4,0.0,88516.0,0.0,0.0,sorting,heap_sort,random
10,0.0,50.0,0.4,0.0,88516.0,0.0,0.0,sorting,radix_sort,random
10,45.0,7.0,0.4889,0.0,81657.0,0.0,0.0,sorting,selection_sort,random
10,32.0,23.0,0.4889,0.0,81657.0,0.0,0.0,sorting,insertion_sort,random
10,22.0,34.0,0.4889,0.0,81657.0,0.0,0.0,sorting,merge_sort,random
10,30.0,17.0,0.4889,0.0,81657.0,0.0,0.0,sorting,quick_sort,random
10,37.0,25.0,0.4889,0.0,81657.0,0.0,0.0,sorting,heap_sort,random
10,0.0,50.0,0.4889,0.0,81657.0,0.0,0.0,sorting,radix_sort,random
20,189.0,103.0,0.4579,0.0,84830.0,0.0,0.0,sorting,bubble_sort,random
20,190.0,17.0,0.4579,0.0,84830.0,0.0,0.0,sorting,selection_sort,random
20,119.0,103.0,0.4579,0.0,84830.0,0.0,0.0,sorting,insertion_sort,random
20,66.0,88.0,0.4579,0.0,84830.0,0.0,0.0,sorting,merge_sort,random
20,115.0,71.0,0.4579,0.0,84830.0,0.0,0.0,sorting,heap_sort,random
20,0.0,100.0,0.4579,0.0,84830.0,0.0,0.0,sorting,radix_sort,random
20,175.0,109.0,0.4263,0.0,93202.0,0.0,0.0,sorting,bubble_sort,random
20,190.0,17.0,0.4263,0.0,93202.0,0.0,0.0,sorting,selection_sort,random
20,125.0,109.0,0.4263,0.0,93202.0,0.0,0.0,sorting,insertion_sort,random
20,67.0,88.0,0.4263,0.0,93202.0,0.0,0.0,sorting,merge_sort,random
20,118.0,73.0,0.4263,0.0,93202.0,0.0,0.0,sorting,heap_sort,random
20,0.0,100.0,0.4263,0.0,93202.0,0.0,0.0,sorting,radix_sort,random
20,162.0,78.0,0.5895,0.0,96174.0,0.0,0.0,sorting,bubble_sort,random
20,190.0,16.0,0.5895,0.0,96174.0,0.0,0.0,sorting,selection_sort,random
20,95.0,78.0,0.5895,0.0,96174.0,0.0,0.0,sorting,insertion_sort,random
20,66.0,88.0,0.5895,0.0,96174.0,0.0,0.0,sorting,merge_sort,random
20,115.0,74.0,0.5895,0.0,96174.0,0.0,0.0,sorting,heap_sort,random
20,0.0,100.0,0.5895,0.0,96174.0,0.0,0.0,sorting,radix_sort,random
20,189.0,88.0,0.5368,0.0,91555.0,0.0,0.0,sorting,bubble_sort,random
20,190.0,14.0,0.5368,0.0,91555.0,0.0,0.0,sorting,selection_sort,random
20,107.0,88.0,0.5368,0.0,91555.0,0.0,0.0,sorting,insertion_sort,random
20,66.0,88.0,0.5368,0.0,91555.0,0.0,0.0,sorting,merge_sort,random
20,116.0,74.0,0.5368,0.0,91555.0,0.0,0.0,sorting,heap_sort,random
20,0.0,100.0,0.5368,0.0,91555.0,0.0,0.0,sorting,radix_sort,random
20,175.0,98.0,0.4842,0.0,91528.0,0.0,0.0,sorting,bubble_sort,random
20,190.0,18.0,0.4842,0.0,91528.0,0.0,0.0,sorting,selection_sort,random
20,114.0,98.0,0.4842,0.0,91528.0,0.0,0.0,sorting,insertion_sort,random
20,68.0,88.0,0.4842,0.0,91528.0,0.0,0.0,sorting,merge_sort,random
20,113.0,68.0,0.4842,0.0,91528.0,0.0,0.0,sorting,heap_sort,random
20,0.0,100.0,0.4842,0.0,91528.0,0.0,0.0,sorting,radix_sort,random
30,425.0,195.0,0.5517,0.0,88329.0,0.0,0.0,sorting,bubble_sort,random
30,435.0,25.0,0.5517,0.0,88329.0,0.0,0.0,sorting,selection_sort,random
30,222.0,195.0,0.5517,0.0,88329.0,0.0,0.0,sorting,insertion_sort,random
30,112.0,83.0,0.5517,0.0,88329.0,0.0,0.0,sorting,quick_sort,random
30,209.0,127.0,0.5517,0.0,88329.0,0.0,0.0,sorting,heap_sort,random
30,0.0,150.0,0.5517,0.0,88329.0,0.0,0.0,sorting,radix_sort,random
30,420.0,248.0,0.4299,0.0,90318.0,0.0,0.0,sorting,bubble_sort,random
30,435.0,28.0,0.4299,0.0,90318.0,0.0,0.0,sorting,selection_sort,random
30,274.0,248.0,0.4299,0.0,90318.0,0.0,0.0,sorting,insertion_sort,random
30,133.0,68.0,0.4299,0.0,90318.0,0.0,0.0,sorting,quick_sort,random
30,199.0,116.0,0.4299,0.0,90318.0,0.0,0.0,sorting,heap_sort,random
30,0.0,150.0,0.4299,0.0,90318.0,0.0,0.0,sorting,radix_sort,random
30,425.0,151.0,0.6529,0.0,88859.0,0.0,0.0,sorting,bubble_sort,random
30,435.0,25.0,0.6529,0.0,88859.0,0.0,0.0,sorting,selection_sort,random
30,178.0,151.0,0.6529,0.0,88859.0,0.0,0.0,sorting,insertion_sort,random
30,147.0,91.0,0.6529,0.0,88859.0,0.0,0.0,sorting,quick_sort,random
30,210.0,129.0,0.6529,0.0,88859.0,0.0,0.0,sorting,heap_sort,random
30,0.0,150.0,0.6529,0.0,88859.0,0.0,0.0,sorting,radix_sort,random
30,399.0,241.0,0.446,0.0,92123.0,0.0,0.0,sorting,bubble_sort,random
30,435.0,27.0,0.446,0.0,92123.0,0.0,0.0,sorting,selection_sort,random
30,268.0,241.0,0.446,0.0,92123.0,0.0,0.0,sorting,insertion_sort,random
30,120.0,77.0,0.446,0.0,92123.0,0.0,0.0,sorting,quick_sort,random
30,196.0,119.0,0.446,0.0,92123.0,0.0,0.0,sorting,heap_sort,random
30,0.0,150.0,0.446,0.0,92123.0,0.0,0.0,sorting,radix_sort,random
30,369.0,189.0,0.5655,0.0,95474.0,0.0,0.0,sorting,bubble_sort,random
30,435.0,25.0,0.5655,0.0,95474.0,0.0,0.0,sorting,selection_sort,random
30,216.0,189.0,0.5655,0.0,95474.0,0.0,0.0,sorting,insertion_sort,random
30,109.0,79.0,0.5655,0.0,95474.0,0.0,0.0,sorting,quick_sort,random
