algorithm,input_size,case_type,trial_id,probes,time_taken,memory_used,found,load_factor,collision_count
linear_search,10,best_case,1,4,3.4500000765547156e-05,416,True,,
binary_search,10,best_case,1,3,3.230000220355578e-05,416,True,,
interpolation_search,10,best_case,1,2,2.6600002456689253e-05,416,True,,
exponential_search,10,best_case,1,8,4.2499999835854396e-05,416,True,,
fibonacci_search,10,best_case,1,3,2.010000025620684e-05,416,True,,
hashing_search,10,best_case,1,2,0.00011220000305911526,416,True,2.0,6
linear_search,10,best_case,2,4,1.6199999663513154e-05,416,True,,
binary_search,10,best_case,2,3,2.170000152545981e-05,416,True,,
interpolation_search,10,best_case,2,2,2.3100001271814108e-05,416,True,,
exponential_search,10,best_case,2,8,2.3799999326001853e-05,416,True,,
fibonacci_search,10,best_case,2,3,2.1500000002561137e-05,416,True,,
hashing_search,10,best_case,2,2,6.529999882332049e-05,416,True,2.0,6
linear_search,10,best_case,3,1,7.200000254670158e-06,416,True,,
binary_search,10,best_case,3,3,1.0100000508828089e-05,416,True,,
interpolation_search,10,best_case,3,2,2.229999881819822e-05,416,True,,
exponential_search,10,best_case,3,8,1.9400002202019095e-05,416,True,,
fibonacci_search,10,best_case,3,3,1.5400000847876072e-05,416,True,,
hashing_search,10,best_case,3,1,4.190000254311599e-05,416,True,2.0,5
linear_search,10,best_case,4,10,2.9099999665049836e-05,416,True,,
binary_search,10,best_case,4,3,2.099999983329326e-05,416,True,,
interpolation_search,10,best_case,4,3,2.2599997464567423e-05,416,True,,
exponential_search,10,best_case,4,8,2.0399998902576044e-05,416,True,,
fibonacci_search,10,best_case,4,3,1.4799999917158857e-05,416,True,,
hashing_search,10,best_case,4,4,8.330000127898529e-05,416,True,2.0,5
linear_search,10,best_case,5,1,1.6400001186411828e-05,416,True,,
binary_search,10,best_case,5,3,1.7399997886968777e-05,416,True,,
interpolation_search,10,best_case,5,1,1.6900001355679706e-05,416,True,,
exponential_search,10,best_case,5,8,1.5000001440057531e-05,416,True,,
fibonacci_search,10,best_case,5,3,1.460000203223899e-05,416,True,,
hashing_search,10,best_case,5,1,6.500000017695129e-05,416,True,2.0,6
linear_search,20,best_case,1,1,5.999998393235728e-06,776,True,,
binary_search,20,best_case,1,4,1.0300002031726763e-05,776,True,,
interpolation_search,20,best_case,1,2,1.9999999494757503e-05,776,True,,
exponential_search,20,best_case,1,9,1.3799999578623101e-05,776,True,,
fibonacci_search,20,best_case,1,4,1.6699999832781032e-05,776,True,,
hashing_search,20,best_case,1,1,6.959999882383272e-05,776,True,2.0,10
linear_search,20,best_case,2,1,8.600000001024455e-06,776,True,,
binary_search,20,best_case,2,4,1.4099998224992305e-05,776,True,,
interpolation_search,20,best_case,2,4,3.719999949680641e-05,776,True,,
